emp_no,first_name,last_name,title,from_date,to_date
10198,Pranav,Furedi,Senior Engineer,8/31/1993,1/1/9999
10203,Steen,Escriba,Senior Staff,4/6/1995,1/1/9999
10205,Mabhin,Leijenhorst,Senior Engineer,8/23/1993,1/1/9999
10207,Girolamo,Anandan,Senior Engineer,10/11/1997,1/1/9999
10215,Xiaobin,Duclos,Senior Staff,11/23/1991,1/1/9999
10219,Genta,Kolvik,Senior Staff,3/31/1993,1/1/9999
10224,Leon,Trogemann,Senior Engineer,1/9/1996,1/1/9999
10228,Karoline,Cesareni,Senior Staff,12/22/1998,1/1/9999
10230,Clyde,Vernadat,Senior Staff,6/16/2002,1/1/9999
10233,Lein,Vendrig,Senior Staff,4/28/2000,1/1/9999
10239,Nikolaos,Llado,Staff,5/4/1996,1/1/9999
10240,Remko,Maccarone,Engineer,10/6/1998,1/1/9999
10248,Frederique,Tempesti,Senior Staff,8/12/1997,1/1/9999
10249,Marie,Boreale,Senior Engineer,12/7/2000,1/1/9999
10258,Basil,Ishibashi,Senior Engineer,5/16/1997,1/1/9999
10262,Mahendra,Maraist,Staff,1/22/1996,1/1/9999
10272,Yishai,Cannane,Staff,10/23/1997,1/1/9999
10281,Moty,Kusakari,Senior Engineer,12/2/2000,1/1/9999
10282,Hercules,Benzmuller,Engineer,5/2/2001,1/1/9999
10283,Kauko,Birjandi,Senior Engineer,5/26/1995,1/1/9999
10284,Masali,Murrill,Engineer,7/6/1999,1/1/9999
10295,Kristine,Velardi,Senior Staff,6/18/2000,1/1/9999
10298,Dietrich,DuCasse,Staff,4/27/1999,1/1/9999
10306,Heng,Kilgour,Staff,9/6/1993,1/1/9999
10307,Nikolaos,Leaver,Engineer,10/16/1999,1/1/9999
10322,Isamu,Dahlbom,Senior Engineer,1/29/1997,1/1/9999
10325,Arunachalam,Badr,Senior Staff,9/20/1990,1/1/9999
10326,Masali,Czap,Staff,9/2/1998,1/1/9999
10328,Serenella,Kawashima,Engineer,7/17/1998,1/1/9999
10333,Snehasis,Dymetman,Senior Engineer,1/16/1998,1/1/9999
10340,Djelloul,Laventhal,Senior Staff,3/30/1993,1/1/9999
10343,Dinah,Syrzycki,Senior Engineer,10/3/1997,1/1/9999
10347,Pradeep,Kaminger,Staff,2/20/1998,1/1/9999
10349,Oksana,Brodie,Senior Staff,9/27/1997,1/1/9999
10353,Phule,Hammerschmidt,Senior Staff,8/24/1989,1/1/9999
10355,Satyanarayana,Cochrane,Staff,1/26/1996,1/1/9999
10356,Vasilis,Standera,Senior Staff,6/26/1995,1/1/9999
10358,Qunsheng,Tagansky,Technique Leader,2/19/1991,1/1/9999
10364,Nakhoon,Dengi,Senior Engineer,11/14/1985,1/1/9999
10367,Hyuckchul,Gini,Senior Staff,6/23/2000,1/1/9999
10372,Anneli,Frijda,Technique Leader,7/30/1985,1/1/9999
10377,Marl,Grospietsch,Senior Engineer,8/24/1996,1/1/9999
10387,Parto,Wrigley,Senior Staff,1/7/1999,1/1/9999
10388,Hironoby,Kaiser,Staff,5/28/1999,1/1/9999
10389,Make,Peir,Technique Leader,5/13/1999,1/1/9999
10396,Sibyl,Rahier,Senior Engineer,1/11/1986,1/1/9999
10397,Irena,Reutenauer,Technique Leader,5/21/1993,1/1/9999
10402,Volkmar,Ebeling,Technique Leader,1/2/1987,1/1/9999
10404,Prodip,Rosti,Senior Engineer,8/28/1996,1/1/9999
10407,Ulf,Siepmann,Senior Staff,10/30/1999,1/1/9999
10413,Danel,Impagliazzo,Senior Staff,12/26/1997,1/1/9999
10418,Candida,Porotnikoff,Staff,10/4/1996,1/1/9999
10422,Greger,Rubsam,Engineer,1/3/1995,1/1/9999
10426,Arunas,Luce,Technique Leader,7/6/1985,1/1/9999
10429,Martien,Improta,Senior Engineer,9/23/1988,1/1/9999
10432,Hisao,Tiemann,Senior Staff,8/12/1996,1/1/9999
10433,Reuven,Dengi,Engineer,11/27/1999,1/1/9999
10451,Bodh,Ranta,Senior Engineer,3/12/1998,1/1/9999
10453,Tsvetan,Matzel,Senior Staff,4/2/1993,1/1/9999
10463,Ung,Zaiane,Staff,2/17/1994,1/1/9999
10477,Guoxiang,Trogemann,Senior Engineer,5/26/2002,1/1/9999
10486,Amstein,Kossowski,Senior Engineer,10/7/1996,1/1/9999
10494,Yakkov,Servieres,Senior Engineer,12/17/2000,1/1/9999
10497,Pramod,Rabehasaina,Senior Engineer,1/22/1999,1/1/9999
10499,Maik,Luft,Senior Staff,7/31/2001,1/1/9999
10503,Dannz,Pell,Engineer,3/13/1997,1/1/9999
10504,Xiong,Varker,Staff,10/19/1999,1/1/9999
10509,Abdelwaheb,Riesenhuber,Senior Staff,10/6/1997,1/1/9999
10512,Udi,Gihr,Senior Staff,11/28/1998,1/1/9999
10517,Tiina,Speek,Senior Staff,12/25/1990,1/1/9999
10522,Marke,Cesareni,Senior Staff,12/12/1995,1/1/9999
10529,Ymte,Yetto,Assistant Engineer,7/4/1997,1/1/9999
10531,Oguz,Gimbel,Staff,3/16/1995,1/1/9999
10542,Yannis,Couchot,Senior Engineer,2/7/1992,1/1/9999
10548,Ramalingam,Gunderson,Senior Staff,7/4/1993,1/1/9999
10552,Kazuhito,Shiratori,Senior Engineer,8/31/1998,1/1/9999
10564,Jianhao,Thisen,Senior Engineer,11/22/2000,1/1/9999
10568,Gao,Poulakidas,Staff,7/8/1995,1/1/9999
10586,Kirk,Vuskovic,Senior Engineer,2/4/2000,1/1/9999
10593,Falguni,Kenevan,Senior Engineer,9/12/1999,1/1/9999
10596,Sanjit,Coors,Senior Staff,5/23/2001,1/1/9999
10603,Wayne,Restivo,Staff,7/20/1995,1/1/9999
10610,Irena,Roccetti,Engineer,3/30/1997,1/1/9999
10614,Gila,Ozeri,Senior Engineer,3/3/1998,1/1/9999
10615,Keung,Delgrande,Senior Staff,3/10/2002,1/1/9999
10623,Aleksander,Danlos,Senior Engineer,1/15/1999,1/1/9999
10624,Sham,Gyorkos,Technique Leader,5/7/1990,1/1/9999
10628,Krisda,Krogh,Senior Engineer,3/14/2001,1/1/9999
10630,Bezalel,Katzenelson,Engineer,1/13/1997,1/1/9999
10631,Inderjeet,Chaudhuri,Engineer,10/18/1994,1/1/9999
10634,Nahid,Chepyzhov,Senior Engineer,11/10/2000,1/1/9999
10636,Saeko,Porotnikoff,Staff,9/25/1996,1/1/9999
10639,Pramod,Erol,Senior Engineer,10/26/1999,1/1/9999
10641,Guozhong,Zucker,Engineer,3/21/1999,1/1/9999
10642,Hirochika,Narlikar,Engineer,10/5/1998,1/1/9999
10653,Otmar,Feinberg,Senior Engineer,4/30/1987,1/1/9999
10667,Makato,Cusworth,Senior Staff,7/28/1999,1/1/9999
10671,Parviz,Rebaine,Senior Staff,9/13/2001,1/1/9999
10676,Valeri,Danley,Engineer,9/4/1999,1/1/9999
10683,Guiseppe,Stranks,Senior Engineer,6/23/1997,1/1/9999
10693,Berhard,Daescu,Senior Staff,1/8/1991,1/1/9999
10696,Unal,Fendler,Technique Leader,9/9/1991,1/1/9999
10702,Bader,Szemeredi,Senior Engineer,1/14/1991,1/1/9999
10712,Uma,Koprowski,Senior Engineer,8/18/2001,1/1/9999
10718,Adib,Rullman,Senior Engineer,7/21/1997,1/1/9999
10726,Zita,Minakawa,Senior Engineer,2/24/2001,1/1/9999
10734,Sachar,Erdi,Engineer,12/19/1995,1/1/9999
10741,Sven,Huttel,Senior Staff,1/6/1997,1/1/9999
10742,Shim,Wiegley,Technique Leader,4/3/1997,1/1/9999
10745,Poorav,Ranze,Senior Engineer,1/22/1997,1/1/9999
10749,King,Brendel,Senior Engineer,9/26/1990,1/1/9999
10750,Roddy,Demeyer,Technique Leader,11/6/1998,1/1/9999
10764,Yunming,Beetstra,Senior Engineer,11/27/1998,1/1/9999
10767,Monique,Doering,Staff,7/15/1997,1/1/9999
10768,Ishfaq,Candan,Senior Engineer,7/4/1990,1/1/9999
10778,Selwyn,Merey,Senior Staff,7/4/1986,1/1/9999
10791,Tadahiko,Sgarro,Senior Engineer,7/31/1995,1/1/9999
10795,Supot,Naudin,Senior Staff,5/3/1999,1/1/9999
10808,Chenxi,Leijenhorst,Senior Engineer,3/7/1987,1/1/9999
10811,Ashish,Fortenbacher,Engineer,7/8/1997,1/1/9999
10813,Shalesh,Shumilov,Senior Staff,4/27/1990,1/1/9999
10814,Nidapan,Dymetman,Senior Staff,7/17/1998,1/1/9999
10826,Arnd,Anandan,Senior Engineer,1/22/1993,1/1/9999
10827,Willard,Danley,Staff,11/7/1996,1/1/9999
10830,Fen,Fiebach,Senior Staff,8/23/1997,1/1/9999
10831,Toong,Driscoll,Technique Leader,2/22/1998,1/1/9999
10833,Krisda,Gecseg,Technique Leader,12/23/1998,1/1/9999
10834,Huiqun,Rajcani,Engineer,11/24/1999,1/1/9999
10835,Tomoyuki,Kermarrec,Engineer,8/22/1995,1/1/9999
10836,Jianhua,Leivant,Senior Staff,8/10/1987,1/1/9999
10844,Dipayan,Koprowski,Engineer,4/25/1997,1/1/9999
10846,Tokuyasu,Serre,Senior Engineer,1/17/1995,1/1/9999
10847,Theirry,Danley,Senior Staff,7/24/1992,1/1/9999
10848,Fen,Bratsberg,Senior Engineer,4/20/1992,1/1/9999
10849,Makato,Mayerwieser,Engineer,6/24/2001,1/1/9999
10854,Jagoda,Nannarelli,Engineer,7/13/1998,1/1/9999
10858,Kenroku,Gonthier,Senior Engineer,1/1/2002,1/1/9999
10871,Aram,Gilg,Staff,6/16/1999,1/1/9999
10872,Karoline,Speel,Senior Staff,9/5/1996,1/1/9999
10873,Sukumar,Wegerle,Staff,3/23/1994,1/1/9999
10878,Lakshmi,Deville,Staff,4/25/1997,1/1/9999
10879,Muzhong,Chleq,Senior Engineer,8/15/1985,1/1/9999
10882,Fun,Heuser,Engineer,4/29/1999,1/1/9999
10883,Shimshon,Champarnaud,Engineer,12/28/1996,1/1/9999
10885,Rayond,Cronau,Senior Staff,8/19/1991,1/1/9999
10887,Lunjin,DeMori,Senior Engineer,3/17/1989,1/1/9999
10900,Ferdinand,Prenel,Senior Engineer,9/7/1995,1/1/9999
10906,Munehiro,Carrere,Staff,10/18/1998,1/1/9999
10909,Georgi,Atchley,Senior Engineer,12/26/2000,1/1/9999
10913,Narain,Thummel,Staff,10/25/1998,1/1/9999
10920,Ronghao,Narahara,Senior Staff,2/23/1998,1/1/9999
10921,Mara,Bahi,Senior Engineer,7/27/1995,1/1/9999
10924,Hironoby,Atchley,Senior Staff,8/14/1997,1/1/9999
10926,Leni,Eppinger,Senior Engineer,4/30/1995,1/1/9999
10927,Gal,Scallan,Senior Staff,9/12/1993,1/1/9999
10930,Arch,Minakawa,Senior Engineer,11/22/1998,1/1/9999
10932,Avishai,Picci,Senior Engineer,9/9/1999,1/1/9999
10936,Mountaz,Schicker,Senior Staff,5/8/1996,1/1/9999
10942,Toshimitsu,Larfeldt,Engineer,1/21/1996,1/1/9999
10943,Berna,Skafidas,Senior Engineer,5/22/1999,1/1/9999
10944,Remko,Zyda,Senior Engineer,9/7/1995,1/1/9999
10947,Gor,Usery,Senior Staff,11/15/2001,1/1/9999
10949,Shigeichiro,Wroclawski,Senior Staff,6/28/1996,1/1/9999
10956,Arno,Picel,Engineer,12/2/1995,1/1/9999
10965,Eckart,Braunschweig,Senior Staff,7/29/1986,1/1/9999
10969,Premal,Noriega,Senior Engineer,5/12/1994,1/1/9999
10974,Muneo,Papsdorf,Senior Engineer,5/17/1999,1/1/9999
10986,Masako,Schiper,Technique Leader,10/11/1985,1/1/9999
10987,Flemming,Baezner,Engineer,5/21/1997,1/1/9999
10988,Chinya,Deyuan,Senior Engineer,6/19/1985,1/1/9999
10989,Sumali,Candan,Senior Staff,7/20/1991,1/1/9999
10990,Shin,Foote,Technique Leader,8/6/1990,1/1/9999
10996,Matk,Rahimi,Senior Staff,2/7/1996,1/1/9999
11004,JoAnna,Decleir,Senior Engineer,1/18/1998,1/1/9999
11009,Alper,Axelband,Senior Staff,9/9/1993,1/1/9999
11012,Taegyun,Speckmann,Staff,7/6/1996,1/1/9999
11019,Leon,Huttel,Senior Engineer,5/24/1997,1/1/9999
11021,Srinidhi,Henders,Staff,2/2/1998,1/1/9999
11027,Remzi,Cappello,Senior Engineer,5/6/1996,1/1/9999
11031,Ottavia,Walstra,Senior Staff,10/24/1993,1/1/9999
11032,Erez,Schaaf,Staff,6/6/1994,1/1/9999
11037,Lansing,Maliniak,Senior Engineer,1/28/1995,1/1/9999
11038,Jinya,Beidas,Senior Staff,7/15/1992,1/1/9999
11042,Gou,Breugel,Senior Engineer,6/21/2000,1/1/9999
11048,Jaques,Demke,Senior Staff,5/27/1999,1/1/9999
11050,Elvis,Katiyar,Senior Staff,5/6/1991,1/1/9999
11051,Przemyslawa,Erol,Senior Engineer,3/26/2000,1/1/9999
11056,Palash,Speel,Staff,7/1/1997,1/1/9999
11061,Pintsang,Erni,Senior Staff,2/19/2002,1/1/9999
11064,Shawna,Vieri,Senior Engineer,2/27/2002,1/1/9999
11066,Shaz,Langford,Senior Staff,4/30/1996,1/1/9999
11070,Adib,Raney,Senior Engineer,7/24/1991,1/1/9999
11071,Kwan,Sigstam,Senior Engineer,5/23/2001,1/1/9999
11075,Karsten,Belinskaya,Senior Engineer,5/6/1998,1/1/9999
11079,Piyush,Garigliano,Senior Engineer,5/26/2001,1/1/9999
11081,Barry,Boyle,Senior Staff,6/17/1994,1/1/9999
11083,Shimshon,Ducloy,Senior Staff,10/4/2000,1/1/9999
11084,Greger,Senzako,Senior Engineer,5/31/1999,1/1/9999
11085,Hailing,Thummel,Senior Engineer,2/10/1996,1/1/9999
11087,Changho,Jayawardene,Senior Engineer,3/18/1998,1/1/9999
11089,Conal,Henders,Senior Staff,8/13/1994,1/1/9999
11091,Souichi,Ramsay,Engineer,9/11/1999,1/1/9999
11092,Narain,Stamatiou,Staff,4/5/1999,1/1/9999
11098,Arnd,Covnot,Engineer,1/8/1997,1/1/9999
11100,Berna,Cochrane,Senior Staff,10/13/1993,1/1/9999
11106,Aris,Iwayama,Senior Engineer,8/30/1997,1/1/9999
11111,Udi,Zastre,Assistant Engineer,12/25/1994,1/1/9999
11112,Boaz,Mukaidono,Staff,4/28/1995,1/1/9999
11113,Shahab,Peng,Senior Staff,11/30/1991,1/1/9999
11121,Vugranam,Kakkad,Senior Engineer,11/1/1999,1/1/9999
11130,Xinyu,Menhoudj,Senior Staff,2/17/1997,1/1/9999
11132,Kristin,Harnett,Senior Engineer,8/30/1999,1/1/9999
11133,Nalini,Azulay,Technique Leader,3/6/1994,1/1/9999
11134,Sachar,Rajcani,Senior Engineer,5/19/2002,1/1/9999
11137,Hugh,Luca,Engineer,3/16/1995,1/1/9999
11139,Bogdan,Homond,Senior Staff,5/11/1995,1/1/9999
11143,Yongdong,Rosen,Engineer,5/9/1996,1/1/9999
11144,Carrsten,Heinisuo,Senior Staff,7/19/2002,1/1/9999
11146,Ishfaq,Masand,Senior Staff,8/21/1997,1/1/9999
11147,Ayonca,Nitsch,Engineer,12/4/1997,1/1/9999
11148,Zhanqiu,Botman,Senior Staff,2/8/1997,1/1/9999
11158,Masaki,Hagimont,Senior Engineer,4/20/2002,1/1/9999
11162,Kauko,Narlikar,Senior Engineer,3/28/1990,1/1/9999
11168,Shmuel,Tetzlaff,Senior Staff,7/15/2001,1/1/9999
11170,Minghong,Cannard,Senior Engineer,6/20/1990,1/1/9999
11174,Akhilish,Milicia,Engineer,6/7/1999,1/1/9999
11177,Chrisa,dAstous,Senior Engineer,9/11/1999,1/1/9999
11180,Mitsuyuki,Bojadziev,Senior Engineer,6/10/1992,1/1/9999
11181,Hausi,Cullers,Engineer,11/3/1997,1/1/9999
11185,Aloys,Baezner,Senior Staff,1/26/2000,1/1/9999
11186,Kshitij,Stasinski,Senior Engineer,12/9/2000,1/1/9999
11189,Dante,Bodoff,Senior Staff,9/7/1991,1/1/9999
11192,Apostol,Bahr,Engineer,4/7/1998,1/1/9999
11197,Tadahiro,Fordan,Senior Staff,9/12/1989,1/1/9999
11201,Jouko,Masaki,Staff,10/31/1995,1/1/9999
11204,Diederik,Covnot,Technique Leader,9/18/1985,1/1/9999
11207,Saeed,Gips,Engineer,1/31/1999,1/1/9999
11208,Saniya,Valtorta,Technique Leader,11/17/1994,1/1/9999
11211,Yurij,Rissland,Senior Engineer,9/17/1985,1/1/9999
11213,Vugranam,Munoz,Technique Leader,2/4/1999,1/1/9999
11217,Kellie,Mawatari,Senior Engineer,3/11/1990,1/1/9999
11229,Gretta,Ramamoorthy,Senior Engineer,7/25/2000,1/1/9999
11232,Hidefumi,Crelier,Senior Staff,8/1/2000,1/1/9999
11233,Sanjit,Waschkowski,Senior Engineer,12/14/1998,1/1/9999
11240,Kiam,Condotta,Engineer,1/6/1997,1/1/9999
11243,Udi,Desikan,Assistant Engineer,1/20/2000,1/1/9999
11249,Randi,Cyre,Engineer,9/22/1994,1/1/9999
11251,Bezalel,Chinal,Senior Staff,6/15/1993,1/1/9999
11253,Koldo,Pokrovskii,Senior Engineer,5/22/2000,1/1/9999
11254,Danel,Rindone,Staff,12/19/1998,1/1/9999
11258,Aris,Maccarone,Senior Staff,3/28/1998,1/1/9999
11266,Florina,Rohrbach,Senior Engineer,5/12/2002,1/1/9999
11267,Shaunak,Zaumen,Senior Engineer,4/9/1996,1/1/9999
11268,Aimee,Petersohn,Senior Engineer,10/25/1995,1/1/9999
11274,Masanao,Nicolson,Staff,12/13/1999,1/1/9999
11275,Hitomi,Eppinger,Senior Engineer,4/25/1998,1/1/9999
11289,Chuanti,Cherinka,Senior Engineer,2/23/1996,1/1/9999
11290,Visit,Dredge,Engineer,5/13/1999,1/1/9999
11292,Souichi,Sichman,Senior Engineer,2/12/1996,1/1/9999
11294,Tru,Segond,Senior Engineer,6/13/1999,1/1/9999
11295,Abdelkader,Lanzelotte,Senior Staff,5/15/1990,1/1/9999
11296,Hironobu,Kenevan,Senior Engineer,9/26/1994,1/1/9999
11301,Mingzeng,Oxenboll,Senior Staff,5/23/1996,1/1/9999
11317,Shigeaki,Hagimont,Senior Staff,9/7/2000,1/1/9999
11319,Pranas,Marrakchi,Assistant Engineer,11/1/1998,1/1/9999
11320,Atilio,McAlpine,Senior Staff,4/6/1998,1/1/9999
11322,Nathalie,Pocchiola,Senior Engineer,7/8/1999,1/1/9999
11324,Kauko,Billingsley,Senior Engineer,8/29/1985,1/1/9999
11325,Samphel,Rossi,Engineer,1/10/1999,1/1/9999
11326,Munenori,Plesums,Senior Engineer,2/19/1999,1/1/9999
11338,Kwangsub,Hanratty,Senior Staff,10/28/1998,1/1/9999
11339,Flemming,Massonet,Senior Engineer,12/19/1989,1/1/9999
11340,Aris,Bala,Senior Engineer,9/11/1998,1/1/9999
11343,Susanne,Erez,Senior Engineer,2/27/1995,1/1/9999
11347,Anneli,Jonsson,Senior Engineer,4/19/1992,1/1/9999
11349,Yurii,Hammerschmidt,Engineer,6/28/1999,1/1/9999
11360,Fen,Schach,Senior Staff,1/12/1997,1/1/9999
11365,Toshimi,Shinomoto,Engineer,12/18/1997,1/1/9999
11373,Yongmao,Keohane,Senior Staff,7/18/2000,1/1/9999
11376,Valery,Suomi,Senior Staff,3/14/1994,1/1/9999
11380,Kenroku,Pelc,Senior Engineer,4/18/2001,1/1/9999
11385,Shiv,Ullian,Engineer,8/8/1999,1/1/9999
11386,Alselm,Assaf,Senior Engineer,11/29/1993,1/1/9999
11393,Junsik,Junot,Senior Engineer,4/30/1992,1/1/9999
11396,Anneke,Servieres,Engineer,2/4/1997,1/1/9999
11398,Oscar,Peir,Senior Staff,9/7/2001,1/1/9999
11401,Huan,Merey,Staff,4/15/1995,1/1/9999
11404,Bedrich,Borovoy,Technique Leader,9/25/1990,1/1/9999
11406,Eberhardt,Gini,Senior Staff,3/13/1996,1/1/9999
11410,Gro,Vendrig,Engineer,10/25/1999,1/1/9999
11415,Sanjiv,Anido,Engineer,12/7/1996,1/1/9999
11417,Anneli,Cyne,Technique Leader,12/21/1992,1/1/9999
11418,Satosi,Cooley,Senior Staff,12/30/1991,1/1/9999
11420,Tsutomu,Lalonde,Senior Staff,1/31/1992,1/1/9999
11421,Josyula,Msuda,Senior Engineer,9/2/1995,1/1/9999
11423,Guangming,Kopetz,Staff,10/13/1998,1/1/9999
11425,Renee,Crelier,Senior Engineer,8/27/1990,1/1/9999
11441,Marlo,Aingworth,Senior Staff,3/27/1987,1/1/9999
11446,Naftali,Narahara,Senior Engineer,4/6/1999,1/1/9999
11449,Kotesh,Asser,Senior Engineer,2/3/2000,1/1/9999
11451,Eben,Rajaraman,Senior Engineer,5/20/1990,1/1/9999
11452,Shigehito,Luby,Senior Staff,8/26/2001,1/1/9999
11459,Duke,Suomi,Senior Staff,5/2/1992,1/1/9999
11460,Mana,Maraist,Senior Engineer,5/28/2001,1/1/9999
11469,Guttorm,Giaccio,Senior Engineer,9/8/1999,1/1/9999
11474,Gennady,Akazan,Engineer,12/29/1993,1/1/9999
11476,Manton,Yoshizawa,Staff,1/15/1994,1/1/9999
11479,Shridhar,Pleszkun,Staff,2/10/1999,1/1/9999
11503,Nathan,Picht,Senior Engineer,4/9/2002,1/1/9999
11506,Rance,Picel,Staff,4/8/1996,1/1/9999
11509,Aleksander,Feldhoffer,Senior Engineer,11/11/1992,1/1/9999
11513,Otmar,Mahnke,Senior Staff,8/25/1998,1/1/9999
11515,Ulf,Basawa,Staff,9/21/1998,1/1/9999
11518,Jinxi,Oxman,Senior Staff,9/22/1999,1/1/9999
11519,Halsur,Chinen,Senior Staff,6/12/1997,1/1/9999
11523,Yuguang,Pezzoli,Engineer,12/23/1998,1/1/9999
11524,Xiadong,Standera,Senior Engineer,7/5/1996,1/1/9999
11527,Alagu,Boyle,Staff,1/28/1999,1/1/9999
11528,Zito,Dolinsky,Technique Leader,6/15/1987,1/1/9999
11531,Radhika,Motley,Technique Leader,11/4/1992,1/1/9999
11533,Vitaly,Lorch,Technique Leader,8/20/1991,1/1/9999
11537,DAIDA,Pehl,Senior Staff,7/6/1986,1/1/9999
11540,Chanjung,Portugali,Senior Engineer,7/2/2002,1/1/9999
11554,Subhash,Taubenfeld,Staff,7/15/1998,1/1/9999
11555,Kotesh,Perfilyeva,Senior Staff,10/14/1991,1/1/9999
11567,Teiji,Mitzlaff,Senior Staff,2/3/1996,1/1/9999
11568,Martins,Fujisaki,Senior Engineer,3/13/2000,1/1/9999
11573,Pranas,Hutton,Senior Engineer,2/4/1995,1/1/9999
11575,Godehard,Plotkin,Engineer,5/31/2000,1/1/9999
11577,Mayumi,Deyuan,Senior Engineer,9/23/1998,1/1/9999
11581,Patricio,Rosenbaum,Senior Engineer,11/13/2001,1/1/9999
11587,Shem,Zambonelli,Senior Engineer,4/24/1989,1/1/9999
11589,Gina,Plessier,Senior Engineer,5/6/2001,1/1/9999
11595,Takanari,Kamber,Senior Staff,9/8/1992,1/1/9999
11596,Yannik,Gunderson,Staff,11/23/1995,1/1/9999
11602,Somnath,Malabarba,Senior Staff,6/21/2001,1/1/9999
11603,Herb,Swen,Senior Staff,4/13/1994,1/1/9999
11606,Perry,Pepe,Senior Staff,9/27/1999,1/1/9999
11607,Tomokazu,Foong,Engineer,4/19/1995,1/1/9999
11615,Shem,Isaak,Senior Staff,8/28/2000,1/1/9999
11616,Zhilian,Brendel,Engineer,12/30/1998,1/1/9999
11624,Adil,Gammage,Senior Engineer,7/15/1996,1/1/9999
11628,Fan,Malinowski,Senior Engineer,10/23/1997,1/1/9999
11640,Valeri,Coorg,Senior Engineer,9/26/1988,1/1/9999
11641,Chikako,Rothenberg,Senior Engineer,6/18/1991,1/1/9999
11644,Sanjit,Zaiane,Assistant Engineer,8/9/1995,1/1/9999
11646,Lobel,Rubsam,Engineer,12/15/1999,1/1/9999
11647,Magy,Nitsche,Senior Engineer,5/11/1993,1/1/9999
11649,Shen,Bernardinello,Technique Leader,12/11/1992,1/1/9999
11660,Gill,Stenning,Senior Staff,11/22/1994,1/1/9999
11664,Oksana,Brizzi,Senior Staff,9/7/1990,1/1/9999
11667,Kristian,Marchegay,Senior Staff,9/7/1996,1/1/9999
11673,Henk,Felder,Technique Leader,6/10/1989,1/1/9999
11676,Valeri,Ferriere,Engineer,7/15/1998,1/1/9999
11681,Fumitake,Benzmuller,Senior Engineer,8/28/1995,1/1/9999
